Format Version,1.23,Take Name,Paola_pasillo_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-10-14 05.37.29.050 P. M.,Total Frames in Take,1773,Total Exported Frames,1773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
17,0.170000,-0.087746,0.857948,1.172036,-0.182490,0.688004,1.246633,-0.151791,0.282018,1.267123,-0.048601,0.048811,1.345800,-0.114781,0.437523,1.247301,-0.097271,0.072465,1.287294,-0.096330,0.055404,1.155396,0.173057,0.844128,1.198984,0.228303,0.689705,1.276306,0.174390,0.250656,1.311360,0.052555,0.048785,1.372192,0.151032,0.429083,1.285320,0.108303,0.069376,1.329497,0.099243,0.049903,1.181509,0.018824,0.895483,1.377764
18,0.180000,-0.088453,0.857689,1.172472,-0.182822,0.687962,1.246218,-0.151951,0.281913,1.266431,-0.048453,0.048941,1.345397,-0.114887,0.437454,1.246742,-0.097255,0.072384,1.286593,-0.095803,0.055985,1.154824,0.172580,0.844232,1.198948,0.227861,0.689783,1.276278,0.174216,0.250734,1.311367,0.052520,0.048751,1.372164,0.150741,0.429112,1.285300,0.108275,0.069393,1.329498,0.099285,0.049907,1.181514,0.018286,0.895423,1.377662
19,0.190000,-0.089254,0.857366,1.172839,-0.183108,0.687786,1.245744,-0.152090,0.281745,1.265854,-0.048264,0.049032,1.344982,-0.115144,0.437397,1.246488,-0.097250,0.072256,1.285871,-0.095217,0.056447,1.154226,0.172061,0.844321,1.198855,0.227365,0.689868,1.276227,0.174032,0.250830,1.311431,0.052487,0.048719,1.372143,0.150420,0.429159,1.285334,0.108256,0.069409,1.329508,0.099348,0.049911,1.181527,0.017648,0.895360,1.377480
20,0.200000,-0.090122,0.857023,1.173049,-0.183634,0.687671,1.245374,-0.152220,0.281530,1.265424,-0.048102,0.049038,1.344555,-0.115478,0.437309,1.246463,-0.097252,0.072088,1.285187,-0.094674,0.056658,1.153663,0.171503,0.844428,1.198717,0.226819,0.689965,1.276148,0.173837,0.250943,1.311538,0.052459,0.048696,1.372133,0.150071,0.429228,1.285404,0.108243,0.069425,1.329524,0.099417,0.049923,1.181544,0.016910,0.895299,1.377224
21,0.210000,-0.091054,0.856688,1.173046,-0.184201,0.687494,1.245026,-0.152365,0.281256,1.265169,-0.047985,0.048966,1.344152,-0.115822,0.437153,1.246591,-0.097270,0.071896,1.284602,-0.094227,0.056530,1.153201,0.170885,0.844597,1.198557,0.226225,0.690077,1.276032,0.173632,0.251072,1.311669,0.052438,0.048692,1.372137,0.149692,0.429320,1.285488,0.108233,0.069444,1.329544,0.099467,0.049948,1.181563,0.016077,0.895242,1.376905
22,0.220000,-0.092082,0.856362,1.172843,-0.184609,0.687128,1.244602,-0.152532,0.280932,1.265092,-0.047885,0.048860,1.343824,-0.116185,0.436935,1.246832,-0.097324,0.071706,1.284166,-0.093884,0.056138,1.152861,0.170186,0.844786,1.198363,0.225579,0.690204,1.275872,0.173414,0.251219,1.311801,0.052426,0.048712,1.372153,0.149283,0.429432,1.285563,0.108222,0.069467,1.329564,0.099484,0.049988,1.181581,0.015158,0.895192,1.376536
23,0.230000,-0.093244,0.856045,1.172474,-0.185085,0.686733,1.244211,-0.152711,0.280566,1.265155,-0.047785,0.048736,1.343578,-0.116572,0.436660,1.247159,-0.097347,0.071485,1.283853,-0.093646,0.055638,1.152595,0.169404,0.844954,1.198118,0.224877,0.690345,1.275664,0.173179,0.251381,1.311913,0.052420,0.048754,1.372178,0.148843,0.429557,1.285603,0.108208,0.069496,1.329580,0.099486,0.050043,1.181601,0.014161,0.895150,1.376128
24,0.240000,-0.094500,0.855729,1.171987,-0.185810,0.686435,1.243935,-0.152901,0.280163,1.265329,-0.047679,0.048601,1.343387,-0.116993,0.436346,1.247556,-0.097263,0.071194,1.283599,-0.093489,0.055113,1.152348,0.168542,0.845104,1.197825,0.224116,0.690497,1.275406,0.172921,0.251555,1.311988,0.052419,0.048811,1.372206,0.148365,0.429689,1.285582,0.108190,0.069528,1.329590,0.099502,0.050110,1.181629,0.013099,0.895112,1.375688
25,0.250000,-0.095738,0.855392,1.171458,-0.186504,0.686058,1.243627,-0.153113,0.279706,1.265599,-0.047562,0.048458,1.343216,-0.117462,0.436014,1.248014,-0.097151,0.070905,1.283395,-0.093384,0.054570,1.152087,0.167602,0.845244,1.197491,0.223293,0.690651,1.275099,0.172632,0.251734,1.312010,0.052423,0.048860,1.372229,0.147841,0.429821,1.285479,0.108169,0.069559,1.329590,0.099553,0.050189,1.181667,0.011988,0.895076,1.375228
26,0.260000,-0.096896,0.855037,1.170932,-0.187152,0.685606,1.243287,-0.153358,0.279177,1.265910,-0.047441,0.048312,1.343054,-0.117977,0.435683,1.248520,-0.097090,0.070683,1.283247,-0.093285,0.054009,1.151821,0.166589,0.845376,1.197124,0.222410,0.690800,1.274748,0.172303,0.251914,1.311968,0.052430,0.048881,1.372242,0.147264,0.429951,1.285279,0.108141,0.069586,1.329580,0.099644,0.050283,1.181718,0.010840,0.895038,1.374758
